All,Alle
None,Ingen
"Allowed Scopes","Tillatte områder"
"More permissions are needed to delete the ""%1"" item.","Flere tillatelser er nødvendig for å slette elementet ""%1""."
"You need more permissions to apply some of the rule updates.","Du trenger flere tillatelser for å utføre noen av regeloppdateringene."
"More permissions are needed to view this item.","Flere tillatelser nødvendig for å vise dette elementet."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Denne entiteten må tilordnes en butikkvisning. Verifiser entitetens tilordning og prøv på nytt."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Dette elementet må være tilordnet en butikkvisning.
                Velg en nettside for dette produktet i ""Produkt i nettsteder""."
"Orders can only be completed in an active store. Verify the store and try again.","Bestillinger kan kun fullføres i en aktiv butikk. Bekreft butikken å prøv igjen."
"This item needs to be assigned to a store view. Assign item and try again.","Dette elementet må tilordnes til en butikk. Tilordne varen og prøv på nytt."
"More permissions are needed to save this item.","Flere tillatelser nødvendig for å lagre dette elementet."
"More permissions are needed to delete this item.","Flere tillatelser er nødvendig for å slette dette elementet."
"Not allowed to edit the category's design attributes","Ikke tillatt å endre kategoriens designattributter"
"At least one website or store group needs to be selected. Select and try again.","Minst en nettside eller butikkgruppe må velges. Velg og prøv igjen."
"More permissions are needed to set All Scopes to a Role.","Flere tillatelser nødvendig for å sette alle omfanger til en rolle."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","ID til ""%1""-nettsted er feil. Kontroller nettsted ID og prøv igjen."
"You need more permissions to access website ""%1"".","Du trenger flere tillatelser for å få tilgang til nettside ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Id til ""%1""-butikken er feil. Kontroller nettsted Id og prøv igjen."
"More permissions are needed to save this setting.","Flere tillatelser er nødvendig for å lagre denne innstillingen."
"Role Scopes",Rolleområder
Custom,Egendefinert
"Read Details","Les detaljer"
"Mark as Read","Marker som lest"
"Are you sure?","Er du sikker?"
Remove,Fjern
"Messages Inbox","Beskjeder Innboks"
"You have %1 new system messages","Du har %1 nye systemmeldinger"
"You have %1 new system message","Du har %1 ny systemmelding"
"Incoming Message","Innkommende melding"
close,lukk
Notifications,Varslinger
"The message has been marked as Read.","Meldingen er markert som lest."
"We couldn't mark the notification as Read because of an error.","Vi kunne ikke merke meldingen som lest på grunn av en feil."
"Please select messages.","Velg meldinger."
"A total of %1 record(s) have been marked as Read.","Totalt %1 post(er) er merket som lest."
"Total of %1 record(s) have been removed.","Totalt av %1 oppføring(er) er fjernet."
"We couldn't remove the messages because of an error.","Vi kunne ikke fjerne meldinger på grunn av en feil."
"The message has been removed.","Meldingen ble fjernet."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Du har sett og løst alle siste systemet varsler. Oppdater web-siden for å fjerne varselet."
"1 Hour","1 time"
"2 Hours","2 timer"
"6 Hours","6 timer"
"12 Hours","12 timer"
"24 Hours","24 timer"
critical,kritisk
major,stor
minor,mindre
notice,varsel
"Wrong message type","Feil meldingstype"
"Wrong notification ID specified.","Feil varsel-ID er spesifisert."
